portuguese,hebrew,part_of_speech,explaination,,,,
apresentar,להציג,פועל,,,,,
aquecimento,חימום,שם עצם,,,,,
aquela,ההיא,אחר,,,,,
aquele,ההוא,אחר,,,,,
aqui,כאן,אחר,,,,,
aquilo,הדבר ההוא,אחר,,,,,
?rea,איזור,שם עצם,,,,,
Argentino,ארגנטינאי,שם תואר,,,,,
arma,כלי נשק,שם עצם,,,,,
arquiteta,אדריכל,שם עצם,,,,,
arrumar,"לסדר, לערוך",פועל,,,,,
artista,אומן,שם עצם,,,,,
as vezes,לפעמים,אחר,,,,,
?sia,אסיה,שם עצם,,,,,
assembleia,אסיפה,שם עצם,,,,,
assinar,לחתום,פועל,,,,,
associa??o,ארגון,שם עצם,,,,,
Assumir,לקחת אחריות על,פועל,,,,,
Assustado,מפחדת,שם תואר,,,,,
Atender - לעזור,לעזור,פועל,,,,,
atingir,לפגוע,פועל,,,,,
Atividade,פעילות,שם עצם,,,,,
Atleta,אתלט,שם עצם,,,,,
Atos,פעולות,שם עצם,,,,,
atrasar,"לעכב, לדחות",פועל,,,,,
Atuar - לפעול,"לפעול, לשחק (בסרט, סדרה וכו)",פועל,,,,,
audi?ncia,קהל,שם עצם,,,,,
Aumentar,"להגביר, להגדיל",פועל,,,,,
Aus?ncia,היעדרות,שם עצם,,,,,
autom?vel,מכונית,שם עצם,,,,,
autor,מחבר,שם עצם,,,,,
autoridade,רשות,שם עצם,,,,,
avalia??o,הערכה,שם עצם,,,,,
avenida,שדרה,שם עצם,,,,,
avi?o,מטוס,שם עצם,,,,,
av?,סבא/סבתא,שם עצם,,,,,
azedo,חמוץ,שם תואר,,,,,
azite,שמן,שם עצם,,,,,
azul,כחול,שם תואר,,,,,
bairro,שכונה,שם עצם,,,,,
Baixa,"נפגע, פצוע",שם עצם,,,,,
Baixo,נמוך,שם תואר,,,,,
banco,בנק,שם עצם,,,,,
banda,להקה,שם עצם,,,,,
bandeira,דגל,שם עצם,,,,,
banheiro,מקלחת,שם עצם,,,,,
bar,בר,שם עצם,,,,,
barato,זול,שם תואר,,,,,
barbeador,מסור,שם עצם,,,,,
Barco,סירה,שם עצם,,,,,
barriga,בטן,שם עצם,,,,,
Barulhento,רועש,שם תואר,,,,,
B?sico,בסיסי,שם תואר,,,,,
Basquete,כדורסל,שם עצם,,,,,
beb?,תינוק,שם עצם,,,,,
beber,לשתות,פועל,,,,,
beijar,לנשק,פועל,,,,,
Beleza,יופי,שם עצם,,,,,
Benef?cios,יתרונות,שם עצם,,,,,
ber?o,עריסה,שם עצם,,,,,
biblioteca,ספריה,שם עצם,,,,,
Bicicleta,אופניים,שם עצם,,,,,
bife,סטייק,שם עצם,,,,,
bispo,בישוף,שם עצם,,,,,
blusa,חולצה,שם עצם,,,,,
boca,פה,שם עצם,,,,,
bola,כדור,שם עצם,,,,,
bolo,עוגה,שם עצם,,,,,
bolsa,תיק,שם עצם,,,,,
bolso,כיס,שם עצם,,,,,
bonito,יפה,שם תואר,,,,,
botas,מגפיים,שם עצם,,,,,
bra?o,זרוע,שם עצם,,,,,
branco,לבן,שם תואר,,,,,
Brasileiro,ברזילאי,שם תואר,,,,,
brinquedo,צעצוע,שם עצם,,,,,
Brit?nico,בריטי,שם תואר,,,,,
Busca,חיפוש,שם עצם,,,,,
cabe?a,ראש,שם עצם,,,,,
cachorro,כלב,שם עצם,,,,,
cadela,כלבה,שם עצם,,,,,
caf?,קפה,שם עצם,,,,,
cair,ליפול,פועל,,,,,
caixa,קופסה,שם עצם,,,,,
cal?as,מכנסיים,שם עצם,,,,,
calend?rio,לוח שנה,שם עצם,,,,,
calmo,רגוע,שם תואר,,,,,
cama,מיטה,שם עצם,,,,,
caminhar,ללכת,פועל,,,,,
camisa,חולצה,שם עצם,,,,,
campe?,אלופה,שם עצם,נקבה של campe?o,,,,
Campe?o,אלוף,שם עצם,,,,,
Campeonato,אליפות,שם עצם,,,,,
campo,שדה,שם עצם,,,,,
Canal,ערוץ,שם עצם,,,,,
Caneta,עט,שם עצם,,,,,
cantar,לשיר,פועל,,,,,
capa,שכמייה,שם עצם,,,,,
capital,עיר בירה,שם עצם,,,,,
capit?o,קפטן,שם עצם,,,,,
Cap?tulo,פרק,שם עצם,,,,,
Cara,פרצופ,שם עצם,,,,,
card?pio,תפריט,שם עצם,,,,,
cargo,עמדה,שם עצם,,,,,
cargo,מצב,שם עצם,,,,,
cargo,משרה,שם עצם,,,,,
carne,בשר,שם עצם,,,,,
caro,יקר,שם תואר,,,,,
carregar,לשאת,פועל,,,,,
Carreira,קריירה,שם עצם,,,,,
carro,מכונית,שם עצם,,,,,
carta,מכתב,שם עצם,,,,,
carteira,ארנק,שם עצם,,,,,
carteiro,דוור,שם עצם,,,,,
casa,בית,שם עצם,,,,,
casaco,מעיל,שם עצם,,,,,
casal,זוג,שם עצם,,,,,
castelo,טירה,שם עצם,,,,,
Categoria,קטגוריה,שם עצם,,,,,
cavalo,סוס,שם עצם,,,,,
celular,טלפון נייד,שם עצם,,,,,
centimetro,סנטימטר,שם עצם,,,,,
centro,מרכז,שם עצם,,,,,
Certeza,וודאות,שם עצם,,,,,
certo,נכון,שם תואר,,,,,
cerveja,בירה,שם עצם,,,,,
chamar,לקרוא (למשהו בשם),פועל,,,,,
chamar,לקרוא (בקול),פועל,,,,,
ch?o,רצפה,שם עצם,,,,,
chap?u,כובע,שם עצם,,,,,
Chato,מעצבן,שם תואר,,,,,
Chato,משעמם,שם תואר,,,,,
chefe,בוס,שם עצם,,,,,
Chegada,הגעה,שם עצם,,,,,
chegar,להגיע,פועל,,,,,
Cheio,מלא,שם תואר,,,,,
cheiro,ריח,שם עצם,,,,,
China,סין,שם עצם,,,,,
Chin?s,סיני,שם תואר,,,,,
Chin?s,סינית (שפה),שם עצם,,,,,
chorar,לבכות,פועל,,,,,
chover,לרדת (גשם),פועל,,,,,
chuveiro,מקלחת,שם עצם,,,,,
ciclo,תקופה,שם עצם,,,,,
ciclo,מחזור,שם עצם,,,,,
cidad?o,אזרח,שם עצם,,,,,
cidade,עיר,שם עצם,,,,,
cinza,אפור,שם תואר,,,,,
classe,כיתה,שם עצם,,,,,
Cl?ssico,קלאסי,שם תואר,,,,,
classifica??o,הכשרה,שם עצם,,,,,
clube,מועדון,שם עצם,,,,,
cobertor,שמיכה,שם עצם,,,,,
c?digo,קוד,שם עצם,,,,,
coisa,דבר,שם עצם,,,,,
colega,חבר,שם עצם,,,,,
colega,עמית,שם עצם,,,,,
col?gio,בית ספר,שם עצם,,,,,
colher,כף,שם עצם,,,,,
colocar,"לשים, ללבוש",פועל,,,,,
colorar,לצבוע,פועל,,,,,
colorido,צבעוני,שם תואר,,,,,
coluna,עמוד,שם עצם,,,,,
come?ar,להתחיל,פועל,,,,,
Come?o,התחלה,שם עצם,,,,,
Comemora??o,חגיגה,שם עצם,,,,,
comer,לאכול,פועל,,,,,
Comercial,מסחרי,שם תואר,,,,,
comfort?vel,נוח,שם תואר,,,,,
comida,אוכל,שם עצם,,,,,
comiss?o,עמלה,שם עצם,,,,,
Competi??o,תחרות,שם עצם,,,,,
Comportamento,התנהגות,שם עצם,,,,,
comprar,לקנות,פועל,,,,,
Comprido,ארוך,שם תואר,,,,,
Compromisso,פגישה,שם עצם,,,,,
Compromisso,התחייבות (למשהו שנקבע מראש),שם עצם,,,,,
Compromisso antes,התחייבות קודמת,אחר,,,,,
Comprovar,להוכיח,פועל,,,,,
computador,מחשב,שם עצם,,,,,
comunidade,קהילה,שם עצם,,,,,
Concentra??o,ריכוז,שם עצם,,,,,
concordar,להסכים,פועל,,,,,
Confer?ncia,כנס,שם עצם,,,,,
Confundido,מבולבל,שם תואר,,,,,
conhecer,"להכיר, לפגוש (לראשונה)",פועל,,,,,
Conhecimento,ידע,שם עצם,,,,,
Conseguir,"להציליח, להיות מסוגל",פועל,,,,,
conselheiro,יועץ,שם עצם,,,,,
Conselho,עצה,שם עצם,,,,,
Consequ?cias,תוצאות,שם עצם,,,,,
Considerar,להעריך,פועל,,,,,
construir,לבנות,פועל,,,,,
contar,לספר (סיפור),פועל,,,,,
contar,לספור,פועל,,,,,
Contexto,קונטקסט,שם עצם,,,,,
Contexto,הקשר,שם עצם,,,,,
continente,יבשת,שם עצם,,,,,
Continua??o,המשך,שם עצם,,,,,
Continuar,להמשיך,פועל,,,,,
Contra,נגד,שם עצם,,,,,
Controlar,לשלוט,פועל,,,,,
conversar,לשוחח,פועל,,,,,
convidar,להזמין,פועל,,,,,
Convoca??o,שיחה,שם עצם,,,,,
Convoca??o,קריאה,שם עצם,,,,,
copo,כוס,שם עצם,,,,,
cor,צבע,שם עצם,,,,,
coronel,קולונל,שם עצם,,,,,
corrente,שרשרת,שם עצם,,,,,
correr,לרוץ,פועל,,,,,
cortar,לחתוך,פועל,,,,,
cortina,וילון,שם עצם,,,,,
corvinal,רייבנקלו,שם עצם,בהוגוורטס,,,,
costas,גב,שם עצם,,,,,
cotovelo,מרפק,שם עצם,,,,,
cozinha,מטבח,שם עצם,,,,,
cozinhar,לבשל,פועל,,,,,
cozinhero,טבח,שם עצם,,,,,
crescer,לגדול,פועל,,,,,
criar,ליצור,פועל,,,,,
Crit?rio,קריטריון,שם עצם,,,,,
Cubano,קובני,שם תואר,,,,,
cuidar,"לטפל, לשים לב",פועל,,,,,
Culpa,אשמה,שם עצם,,,,,
cultura,תרבות,שם עצם,,,,,
cultural,תרבותי,שם תואר,,,,,
Curiosidade,סקרנות,שם עצם,,,,,
Curso,קורס,שם עצם,,,,,
Curto,קצר,שם תואר,,,,,
dar,לתת,פועל,,,,,
data,תאריך,שם עצם,,,,,
d?cada,עשור,שם עצם,,,,,
decidir,להחליט,פועל,,,,,
dedo,אצבע,שם עצם,,,,,
Defender,להגן על,פועל,,,,,
defenitivo,סופי,שם תואר,,,,,
defenitivo,מוחלט,שם תואר,,,,,
Defesa,הגנה,שם עצם,,,,,
defini??o,הגדרה,שם עצם,,,,,
Definir,"לקבוע, להגדיר",פועל,,,,,
deixar,"להשאיר, לעזוב",פועל,,,,,
Demonstrar,להראות,פועל,,,,,
dente,שן,שם עצם,,,,,
departamento,מחלקה,שם עצם,,,,,
Depend?ncia,תלות,שם עצם,,,,,
depender,לסמוך על,פועל,הצרכה: de,,,,
Descobrir,לגלות,פועל,,,,,
descolorar,להלבין,פועל,,,,,
Desejo,רצון חזק,שם עצם,,,,,
Desenvolver,לפתח,פועל,,,,,
desligar,לנתק,פועל,,,,,
Dever de casa,שיעורי בית,שם עצם,,,,,
dezembro,דצמבר,שם עצם,,,,,
dia,יום,שם עצם,,,,,
di?rio,יומן,שם עצם,,,,,
Dicion?rio,מילון,שם עצם,,,,,
diferen?a,הבדל,שם עצם,,,,,
diferente,שונה,שם תואר,,,,,
dificil,קשה,שם תואר,,,,,
Diminuir,"להקטין, להפחית",פועל,,,,,
dinheiro,כסף,שם עצם,,,,,
Diploma,דיפלומה,שם עצם,,,,,
Diploma,תואר,שם עצם,,,,,
Dire??o,כיוון,שם עצם,,,,,
direito,ימני,שם תואר,,,,,
Direto,היישר,אחר,,,,,
Direto,ישיר,שם תואר,,,,,
diretor,מנהל,שם עצם,,,,,
dirigentes,מנהיגים,שם עצם,,,,,
Disciplina,דיסציפלינה,שם עצם,,,,,
Disciplina,קורס,שם עצם,,,,,
Discuss?o,ויכוח,שם עצם,,,,,
Discuss?o,דיון,שם עצם,,,,,
dist?ncia,מרחק,שם עצם,,,,,
Distribui??o,הפצה,שם עצם,,,,,
Distribui??o,חלוקה,שם עצם,,,,,
distrito,מחוז,שם עצם,,,,,
Divertimento,"הנאה, כיף",שם עצם,,,,,
Divis?o,חלוקה,שם עצם,,,,,
dizer,להגיד,פועל,,,,,
doce,מתוק,שם תואר,,,,,
documanto,מסמך,שם עצם,,,,,
doente,חולה,שם תואר,,,,,
doer,לכאוב,פועל,,,,,
domingo,יום ראשון,שם עצם,,,,,
dono,בעלים,שם עצם,,,,,
Dor,כאב,שם עצם,,,,,
dormir,לישון,פועל,,,,,
dura??o,משך,שם עצם,,,,,
duro,קשה,שם תואר,,,,,
Edi??o,עריכה,שם עצם,,,,,
edif?cio,בניין,שם עצם,,,,,
Educa??o,חינוך,שם עצם,,,,,
elefante,פיל,שם עצם,,,,,
Eliminar,לחסל,פועל,,,,,
Emo??o,רגש,שם עצם,,,,,
Emo??o,אמוציה,שם עצם,,,,,
emprego,עבודה,שם עצם,,,,,
empresa,חברה,שם עצם,,,,,
empresario,איש עסקים,שם עצם,,,,,
encher,למלא,פועל,,,,,
encontrar,לפגוש,פועל,,,,,
engenheiro,מהנדס,שם עצם,,,,,
Enorme,ענק,שם תואר,,,,,
Ensaios,חזרות,שם עצם,,,,,
ensinar,ללמד,פועל,,,,,
ensino fundamental,בית ספר יסודי,אחר,בברזיל: 9 שנות הלימוד הראשונות,,,,
ensino m?dio,בית ספר תיכון,אחר,בברזיל: 3 שנות הלמוד האחרונות,,,,
ensino superior,השכלה גבוהה,אחר,,,,,
Ensolarado,"שמשי, שטוף שמש",שם תואר,,,,,
entender,להבין,פועל,,,,,
Entrada,כניסה,שם עצם,,,,,
entregar,לשלוח,פועל,,,,,
entresario,יזם,שם עצם,,,,,
envelope,מעטפה,שם עצם,,,,,
enviar,לשלוח,פועל,,,,,
envolver,"לכלול, לעטוף, להכניס ל...",פועל,,,,,
epoca,תקופה,שם עצם,,,,,
epoca,עונה,שם עצם,,,,,
Equipe,קבוצת ספורט,שם עצם,,,,,
errar,לטעות,פועל,,,,,
Erro,טעות,שם עצם,,,,,
escada,"סולם, מדרגות",שם עצם,,,,,
Escola,בית ספר,שם עצם,,,,,
escolher,לבחור,פועל,,,,,
escova,מברשת,שם עצם,,,,,
escrever,לכתוב,פועל,,,,,
escritor,סופר,שם עצם,,,,,
escrit?rio,משרד,שם עצם,,,,,
escutar,להקשיב,פועל,,,,,
Esfor?o,מאמץ,שם עצם,,,,,
Espanha,ספרד,שם עצם,,,,,
Espanhol,ספרדי,שם תואר,,,,,
Espanhol,ספרדית (שפה),שם עצם,,,,,
Especial,מיוחד,שם תואר,,,,,
especialidade,התמחות,שם עצם,,,,,
especialista,מומחה,שם עצם,,,,,
espectador,צופה,שם עצם,,,,,
espelho,מראה,שם עצם,,,,,
Esperan?a,תקווה,שם עצם,,,,,
esperar,לחכות,פועל,,,,,
Esporte,ספורט,שם עצם,,,,,
esposa,אישה,שם עצם,,,,,
esposo,בעל,שם עצם,,,,,
Esquecer,לשכוח,פועל,,,,,
esquerdo,שמאלי,שם תואר,,,,,
esquina,פינה,שם עצם,,,,,
essa,ההיא,אחר,,,,,
esse,ההוא,אחר,,,,,
esta,זאת,אחר,,,,,
est? com certeza,בטוח ש,אחר,,,,,
esta??o,עונה,שם עצם,,,,,
esta??o,תחנה,שם עצם,,,,,
est?dio,איצטריון,שם עצם,,,,,
Estados unidos,"ארה""ב",שם עצם,,,,,
Estadunidense,"מארה""ב, של ארה""ב",שם תואר,,,,,
estar,להיות (במצב מסוים או במקום מסוים),פועל,לרוב מתאר מצב זמני ולא קבוע,,,,
este,זה,אחר,,,,,
Estou com vontade,אני רוצה,אחר,,,,,
estrada,כביש,שם עצם,,,,,
estrangeira,זר,שם תואר,,,,,
Estranho,מוזר,שם תואר,,,,,
estrutura,מבנה,שם עצם,,,,,
estudante,סטודנט,שם עצם,,,,,
estudar,ללמוד,פועל,,,,,
etapa,תקופה,שם עצם,,,,,
etapa,עונה,שם עצם,,,,,
?tico,מוסרי,שם תואר,,,,,
Eu fui obrigado,נאלצתי,אחר,,,,,
Europa,אירופה,שם עצם,,,,,
Europeu,אירופאי,שם תואר,,,,,
Evento,אירוע,שם עצם,,,,,
evitar,למנוע,פועל,,,,,
Exame,מבחן,שם עצם,,,,,
exce??o,יוצא מן הכלל,שם עצם,,,,,
excelente,נפלא,שם תואר,,,,,
Exemplo,דוגמה,שם עצם,,,,,
Exerc?cio,תרגיל,שם עצם,,,,,
existir,"להיות קיים, להתקיים",פועל,,,,,
Explica??o,הסבר,שם עצם,,,,,
explicar,להסביר,פועל,,,,,
extens?o,היקף,שם עצם,,,,,
extens?o,גודל,שם עצם,,,,,
Exterior,חוץ,שם עצם,,,,,
Exterior,"חו""ל",שם עצם,,,,,
f?cil,קל,שם תואר,,,,,
Faculdade,מכללה,שם עצם,,,,,
falar,לדבר,פועל,,,,,
falhar,להיכשל,פועל,,,,,
Falta,מחסור,שם עצם,,,,,
Falta,חוסר,שם עצם,,,,,
Falta,געגוע,שם עצם,,,,,
fam?lia,משפחה,שם עצם,,,,,
Familiar,מוכר,שם תואר,,,,,
famoso,מפורסם,שם תואר,,,,,
fase,שלב,שם עצם,,,,,
Fator,גורם,שם עצם,,,,,
Fator,פקטור,שם עצם,,,,,
fazenda,חווה,שם עצם,,,,,
fazendeira,חקלאית,שם עצם,,,,,
fazer,לעשות,פועל,,,,,
Fechado,סגור,שם תואר,,,,,
fechar,לסגור,פועל,,,,,
Fechar,לסגור,פועל,,,,,
feira,יריד,שם עצם,,,,,
Feliz,שמחה,שם עצם,,,,,
Feminina,נשית,שם תואר,,,,,
F?rias,חופשה,שם עצם,,,,,
F?rias,חגים,שם עצם,,,,,
ferramentas,כלים,שם עצם,,,,,
festa,מסיבה,שם עצם,,,,,
festival,פסטיבל,שם עצם,,,,,
fevereiro,פברואר,שם עצם,,,,,
ficar,להפוך ל...,פועל,לרוב כשאחריו יגיע שם תואר,,,,
ficar,להימצא (במקום מסוים),פועל,נאמר על מבנה או כל דבר אחר שלא ניתן להזזה,,,,
ficar,להישאר,פועל,,,,,
filha,בת (של),שם עצם,,,,,
filho,בן (של),שם עצם,,,,,
filme,סרט,שם עצם,,,,,
Fim,סוף,שם עצם,,,,,
fino,דק,שם תואר,,,,,
folha,עלה,שם עצם,,,,,
fome,רעב,שם עצם,,,,,
fonte,מקור,שם עצם,,,,,
fonte,מזרקה,שם עצם,,,,,
Formal,פורמלי,שם תואר,,,,,
Formar,לייצר,פועל,,,,,
formiga,נמלה,שם עצם,,,,,
forno,תנור,שם עצם,,,,,
Forte,חזק,שם תואר,,,,,
fotografia,תמונה,שם עצם,,,,,
fracasso,כישלון,שם עצם,,,,,
Fran?a,צרפת,שם עצם,,,,,
Franc?s,צרפתי,שם תואר,,,,,
Franc?s,צרפתית (שפה),שם עצם,,,,,
franco,ישר,שם תואר,,,,,
frango,עוף (מאכל),שם עצם,,,,,
frequ?ncia,תדירות,שם עצם,,,,,
frio,קר,שם תואר,,,,,
fritar,לטגן,פועל,,,,,
frito,מטוגן,שם תואר,,,,,
fronteira,גבול,שם עצם,,,,,
Fundamental,בסיסי,שם תואר,,,,,
Futebol,כדורגל,שם עצם,,,,,
galeria,גלריה,שם עצם,,,,,
Ganhar,לזכות,פועל,,,,,
Garantir,לערוב ל,פועל,,,,,
garfo,מזלג,שם עצם,,,,,
garrafa,בקבוק,שם עצם,,,,,
gato,חתול,שם עצם,,,,,
geladeira,מקרר,שם עצם,,,,,
gente,אנשים,שם עצם,,,,,
Geografia,גיאוגרפיה,שם עצם,,,,,
gera??o,דור,שם עצם,,,,,
gerente,מנהל,שם עצם,,,,,
Gesto,מחווה,שם עצם,,,,,
Gin?sio,חדר כושר,שם עצם,,,,,
Global,גלובלי,שם תואר,,,,,
Gl?ria,תהילה,שם עצם,,,,,
Gol,מטרה,שם עצם,,,,,
Gol,גול,שם עצם,,,,,
gostar,"לאהוב, לחבב",פועל,הצרכה: de,,,,
grama,דשא,שם עצם,,,,,
grama,גרם,שם עצם,,,,,
grande,גדול,שם תואר,,,,,
gratis,חינם,שם תואר,,,,,
Gratuito,חינם,שם תואר,,,,,
Grau,תואר,שם עצם,,,,,
Grave,רציני,שם תואר,,,,,
Grave,רע,שם תואר,,,,,
greve,הפגנה,שם עצם,,,,,
grifin?ria,גריפינדור,שם עצם,בהוגוורטס,,,,
gritar,לצעוק,פועל,,,,,
guarda,שומר,שם עצם,,,,,
guarda chuva,מטריה,שם עצם,,,,,
guardar,לשמור,פועל,,,,,
Guia,מדריך,שם עצם,,,,,
h?,יש שם,פועל,צורת הווה של haver,,,,
homem,גבר,שם עצם,,,,,
Honra,כבוד,שם עצם,,,,,
hora,שעה,שם עצם,,,,,
hospital,בית חולים,שם עצם,,,,,
hotel,מלון,שם עצם,,,,,
humanidade,אנושות,שם עצם,,,,,
humano,אנושי,שם תואר,,,,,
Humor,הומור,שם עצם,,,,,
Humor,מצב רוח,שם עצם,,,,,
Ideal,אידיאל,שם תואר,,,,,
Ideal,אידיאלי,שם עצם,,,,,
Identidade,זהות,שם עצם,,,,,
Idioma,שפה,שם עצם,,,,,
igreja,כנסייה,שם עצם,,,,,
Igual,שווה,שם תואר,,,,,
Igual,זהה,שם תואר,,,,,
Igual,אותו דבר,שם תואר,,,,,
ilha,אי,שם עצם,,,,,
Imediata,מיידית,שם תואר,,,,,
Impacto,השפעה,שם עצם,,,,,
Impedir,למנוע,פועל,,,,,
importante,חשוב,שם תואר,,,,,
importar,"להיות חשוב (ל..), לעניין (מישהו)",פועל,"isso n?o me importa - לא אכפת לי, זה לא משנה לי",,,,
imposs?vel,בלתי אפשרי,שם תואר,,,,,
incr?vel,מדהים,שם תואר,,,,,
Independente,עצמאי,שם תואר,,,,,
?ndice,אינדקס,שם עצם,,,,,
indiv?duo,איש,שם עצם,,,,,
indiv?duo,אינדבידואל,שם עצם,,,,,
industrial,תעשייתי,שם תואר,,,,,
Infantil,"ילדותי, של ילדים",שם תואר,,,,,
Influ?ncia,השפעה,שם עצם,,,,,
Inglaterra,אנגליה,שם עצם,,,,,
Iniciar,להתחיל,פועל,,,,,
Iniciativa,יוזמה,שם עצם,,,,,
in?cio,התחלה,שם עצם,,,,,
inimigo,אויב,שם עצם,,,,,
inseto,חרק,שם עצם,,,,,
instante,רגע,שם עצם,,,,,
institui??o,מוסד,שם עצם,,,,,
Instituto,מכון,שם עצם,,,,,
Instru??es,הוראות,שם עצם,,,,,
Integrantes,חברים בקבוצה,שם עצם,,,,,
Intelectual,אינטלקטואל,שם תואר,,,,,
Intelig?ncia,איטליגנציה,שם עצם,,,,,
Inten??o,כוונה,שם עצם,,,,,
Intensidade,אינטנסיביות,שם עצם,,,,,
Interc?mbio,חילופי סטודנטים,שם עצם,,,,,
Interessante,מעניין,שם תואר,,,,,
interesse,עניין,שם עצם,,,,,
Interior,פנים,שם עצם,,,,,
Internacional,בינלאומי,שם תואר,,,,,
Introdu??o,מבוא,שם עצם,,,,,
inverno,חורף,שם עצם,,,,,
ir,ללכת,פועל,,,,,
irm?,אחות,שם עצם,,,,,
irm?o,אח,שם עצם,,,,,
isso,הדבר ההוא,אחר,,,,,
isto,הדבר הזה,אחר,,,,,
It?lia,איטליה,שם עצם,,,,,
Italiano,איטלקי,שם תואר,,,,,
Italiano,איטלקית (שפה),שם עצם,,,,,
janeiro,ינואר,שם עצם,,,,,
janela,חלון,שם עצם,,,,,
jantar,ארוחת ערב,שם עצם,,,,,
jardim,גינה,שם עצם,,,,,
joelho,ברך,שם עצם,,,,,
Jogador,שחקן,שם עצם,,,,,
jornal,עיתון,שם עצם,,,,,
jornalista,עיתונאי,שם עצם,,,,,
jovem,צעיר,שם תואר,,,,,
juiz,שופט,שם עצם,,,,,
julgar,לשפוט,פועל,,,,,
julho,יולי,שם עצם,,,,,
junho,יוני,שם עצם,,,,,
juntar,לאסוף,פועל,,,,,
juntos,ביחד,שם תואר,,,,,
Justo,צמוד,שם תואר,,,,,
Justo,הוגן,שם תואר,,,,,
l?,שם,אחר,,,,,
Lado,צד,שם עצם,,,,,
lampada,נורה,שם עצם,,,,,
lan?ar,לחנוך,פועל,,,,,
lanche,חטיף,שם עצם,,,,,
L?pis,עיפרון,שם עצם,,,,,
lar,בית,שם עצם,,,,,
Largo,גדול,שם תואר,,,,,
Largo,רחב,שם תואר,,,,,
lata,פחית,שם עצם,,,,,
lavar,לשטוף,פועל,,,,,
Lazer,פנאי,שם עצם,,,,,
le?o,אריה,שם עצם,,,,,
Legal,"סבבה, ""קול""",שם תואר,,,,,
leite,חלב,שם עצם,,,,,
leitor,קורא,שם עצם,,,,,
Leitura,קריאה,שם עצם,,,,,
len?ol,מצעים,שם עצם,,,,,
ler,לקרוא,פועל,,,,,
Leste,מזרח,שם עצם,,,,,
levar,לקחת,פועל,,,,,
Liberal,ליברלי,שם תואר,,,,,
liberdade,חופש,שם עצם,,,,,
Li??o,שיעור,שם עצם,,,,,
licen?a,היתר,שם עצם,,,,,
licen?a,רישיון,שם עצם,,,,,
ligar,להתקשר,פועל,,,,,
limpar,לנקות,פועל,,,,,
limpo,נקי,שם תואר,,,,,
lindo,יפה,שם תואר,,,,,
L?ngua,שפה,שם עצם,,,,,
litro,ליטר,שם עצם,,,,,
livraria,חנות ספרים,שם עצם,,,,,
Livre,חופשי,שם תואר,,,,,
livro,ספר,שם עצם,,,,,
lobo,זאב,שם עצם,,,,,
local,מקום,שם עצם,,,,,
localidade,מקום,שם עצם,,,,,
L?gico,הגיוני,שם תואר,,,,,
Longo,ארוך,שם תואר,,,,,
lote,שטח,שם עצם,,,,,
